time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.165,0.17300000000000001,0.16923809523809522,0.168,0.002758618734849572,0.14300000000000002,0.148,0.1456,0.145,0.0020591260281973907,5.563,5.857,5.714600000000001,5.6675,0.11849700418154038,0.18,0.183,0.18155000000000002,0.1815,0.0007399324293474377,1.921,2.021,1.97165,1.96,0.03731524487391178,0.14400000000000002,0.149,0.14605,0.145,0.0018834808201837285,9.923,10.453,10.2044,10.118,0.2104557910821175,0.353,0.358,0.35514999999999997,0.3545,0.0018241436346954716,4.974,5.265,5.134950000000002,5.0954999999999995,0.11101687934724148,0.11900000000000001,0.121,0.12015,0.12,0.00047696960070847157,32,32,4096,11008,32768,True,4096,1
0.167,0.17300000000000001,0.16819047619047617,0.168,0.0016795421036712773,0.14400000000000002,0.148,0.14455,0.14400000000000002,0.001203120941551588,5.618,5.855,5.65575,5.626,0.06799402547283101,0.181,0.183,0.18155,0.1815,0.0005894913061275802,1.934,2.021,1.9494500000000001,1.9395,0.021219036264637454,0.14400000000000002,0.148,0.1448,0.145,0.0008717797887081265,10.03,10.455,10.07665,10.037500000000001,0.09325195708402045,0.353,0.357,0.35425,0.354,0.0007664854858377953,5.0520000000000005,5.267,5.0722499999999995,5.056,0.04689229680875108,0.12,0.121,0.12025000000000001,0.12,0.0004330127018922197,32,32,4096,11008,32768,True,4096,1
0.165,0.17200000000000001,0.16719047619047617,0.166,0.0022386017663891746,0.14400000000000002,0.148,0.14470000000000002,0.14400000000000002,0.0014177446878757736,5.6160000000000005,5.856,5.664350000000001,5.6240000000000006,0.08130576547822416,0.179,0.181,0.1801,0.18,0.0005385164807134509,1.936,2.0220000000000002,1.9555500000000001,1.9435,0.027352285096496093,0.14400000000000002,0.148,0.14485000000000003,0.14400000000000002,0.0013883443376914732,10.03,10.454,10.0911,10.037,0.12396689074103624,0.35100000000000003,0.355,0.35155000000000003,0.35100000000000003,0.0010712142642814086,5.05,5.266,5.07945,5.0585,0.06263663065650958,0.11800000000000001,0.12,0.11915000000000005,0.11900000000000001,0.0004769696007084684,32,32,4096,11008,32768,True,4064,1
0.164,0.169,0.16514285714285717,0.165,0.0013899542399358515,0.14300000000000002,0.148,0.14410000000000003,0.14400000000000002,0.0009433981132056556,5.6160000000000005,5.854,5.6391,5.621,0.05133020553241528,0.178,0.18,0.17854999999999996,0.1785,0.0005894913061275802,1.935,2.0220000000000002,1.9451500000000004,1.939,0.018515601529521045,0.14300000000000002,0.147,0.14405,0.14400000000000002,0.0007399324293474322,10.029,10.453,10.06985,10.036,0.09320154236921183,0.34800000000000003,0.352,0.34885,0.34900000000000003,0.0009630680142129027,5.0520000000000005,5.1770000000000005,5.06585,5.0575,0.02704491634300249,0.117,0.11900000000000001,0.11805000000000003,0.11800000000000001,0.0004974937185533104,32,32,4096,11008,32768,True,4032,1
0.165,0.167,0.1664285714285714,0.166,0.0005832118435198048,0.14200000000000002,0.14400000000000002,0.1432,0.14300000000000002,0.0005099019513592789,5.7090000000000005,5.761,5.75425,5.756500000000001,0.01062955784593125,0.177,0.178,0.17769999999999997,0.178,0.0004582575694955844,1.822,1.839,1.8364,1.8375,0.003512833614050062,0.14300000000000002,0.14400000000000002,0.14370000000000002,0.14400000000000002,0.0004582575694955844,10.22,10.28,10.274449999999998,10.278,0.012839295151993214,0.34700000000000003,0.34900000000000003,0.34775000000000006,0.34800000000000003,0.0006224949798994372,4.855,4.897,4.89245,4.8950000000000005,0.008731981447529517,0.116,0.11800000000000001,0.11635000000000002,0.116,0.0005722761571129803,32,32,4096,11008,32768,True,4000,1
0.164,0.167,0.16514285714285717,0.165,0.0007737179432986636,0.14200000000000002,0.145,0.14304999999999998,0.14300000000000002,0.0004974937185533051,5.558,5.695,5.6049999999999995,5.6025,0.022888861920156787,0.17500000000000002,0.177,0.17600000000000002,0.176,0.0003162277660168338,1.821,1.868,1.8372500000000003,1.8365,0.007847770384000818,0.14300000000000002,0.145,0.14329999999999998,0.14300000000000002,0.0005567764362829985,9.967,10.048,9.977200000000002,9.974,0.016451747627531845,0.34500000000000003,0.34700000000000003,0.34590000000000004,0.34600000000000003,0.00043588989435406776,4.852,4.896,4.8915999999999995,4.893,0.009194563611178022,0.113,0.115,0.1139,0.114,0.0004358898943540678,32,32,4096,11008,32768,True,3968,1
0.163,0.166,0.16452380952380952,0.165,0.0007939681905015753,0.14,0.14200000000000002,0.14100000000000001,0.14100000000000001,0.00044721359549995833,5.559,5.696,5.61905,5.604,0.03350593231056246,0.17400000000000002,0.17500000000000002,0.17454999999999998,0.17500000000000002,0.0004974937185533105,1.822,1.867,1.8418500000000002,1.837,0.01051320598105069,0.14,0.14200000000000002,0.14095,0.14100000000000001,0.0004974937185533104,9.962,10.141,10.0009,9.974,0.04617564293001226,0.342,0.34400000000000003,0.34314999999999996,0.343,0.0005722761571129803,4.853,4.9750000000000005,4.9031,4.894,0.02452325427018206,0.112,0.114,0.11285,0.113,0.0005722761571129803,32,32,4096,11008,32768,True,3936,1
0.159,0.166,0.1606190476190476,0.16,0.00201130591256599,0.138,0.14200000000000002,0.13865,0.138,0.0014239030865898154,5.4750000000000005,5.706,5.505999999999999,5.478,0.07117794602262703,0.171,0.17200000000000001,0.17135000000000003,0.171,0.0004769696007084733,1.948,2.0300000000000002,1.9570999999999998,1.949,0.024302057526061512,0.138,0.14200000000000002,0.13849999999999998,0.138,0.0012041594578792306,9.533,9.931000000000001,9.5779,9.541,0.11460187607539436,0.338,0.342,0.33865000000000006,0.338,0.0011947803145348531,5.17,5.3870000000000005,5.1917,5.17,0.0649338894568931,0.111,0.113,0.11215000000000001,0.112,0.00047696960070847325,32,32,4096,11008,32768,True,3904,1
0.156,0.16,0.15847619047619046,0.158,0.0008518354199999207,0.136,0.139,0.1379,0.138,0.0005385164807134509,5.389,5.521,5.481699999999999,5.4795,0.0260770013613528,0.169,0.171,0.16960000000000003,0.17,0.0005830951894845306,1.947,1.964,1.95245,1.949,0.006445735024029467,0.137,0.138,0.13795,0.138,0.00021794494717703385,9.529,9.61,9.554300000000001,9.5425,0.02775986311205437,0.335,0.336,0.33560000000000006,0.336,0.000489897948556636,5.088,5.212,5.17365,5.17,0.02425340182324946,0.11,0.113,0.11125000000000003,0.111,0.0006224949798994372,32,32,4096,11008,32768,True,3872,1
0.156,0.159,0.15780952380952376,0.158,0.0008518354199999206,0.135,0.136,0.13585000000000003,0.136,0.00035707142142714284,5.197,5.25,5.2345999999999995,5.244,0.019850440801150917,0.17,0.171,0.17059999999999997,0.171,0.0004898979485566361,1.737,1.754,1.7499000000000002,1.7530000000000001,0.005999166608788252,0.135,0.137,0.13605000000000003,0.136,0.0003840572873934307,9.22,9.327,9.289150000000001,9.304,0.03486585005417191,0.332,0.334,0.33325000000000005,0.333,0.0005361902647381809,4.6000000000000005,4.641,4.62955,4.639,0.016737607355891557,0.112,0.115,0.11295000000000002,0.113,0.0005894913061275802,32,32,4096,11008,32768,True,3840,1
